web-scraper-order,web-scraper-start-url,titulo,precio,metros
1620528065-12030,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=2,"EXCELENTE TERRENO DE OPORTUNIDAD EN CUMBRES DEL LAGO, QRO SUPERFICIE 345.5 MTS.","$4,400",345
1620528285-12722,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=3,"Juriquilla. Terreno Habitacional con Vigilancia Privada, Venta","$557,000",136
1620528043-11973,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=4,"Se Vende Terreno de 311.40 m2 En Cumbres del Lago, de OPORTUNIDAD","$1,619,000",311
1620528053-11997,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=3,"VENTA DE TERRENO EN JURIQUILLA, CUMBRES DEL LAGO DE 270m2","$4,400",270
1620528157-12338,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,Terreno en venta colindante al CAMPO DE GOLF en el MEJOR RESIDENCIAL de Qro,"$17,500,000",1278
1620528285-12735,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=3,TERRENOS EN VENTA EN JURIQUILLA DESDE 250 M2,"$7,500",250
1620528350-12893,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=2,Mega Desarrollo en El Refugio de 1072 Mts2 con La Mejor Tecnología! Rahqro,"$10,438,414",1072
1620528129-12253,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=4,Terreno en zona completamente construida en El Campanario! RCS,"$6,900,000",653
1620528301-12758,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=2,Magnífico Terreno en Juriquilla Esquina Frente a Parque Central Alberca Tenis,"$1,495,000",225
1620528238-12616,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=7,"Terreno en venta en Juriquilla, Qro. de 38000 m2","$3,500",38000
1620528311-12772,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=1,"terreno en venta juriquilla toliman, muy cerca de chedraui","$4,720,000",800
1620528147-12292,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=2,Terreno / Lote en el Campanario,"$6,647,000",782
1620528075-12077,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=1,VENTA DE TERRENO EN CUMBRES DEL LAGO,"$1,500,000",270
1620528341-12877,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=3,VENTA DE MACROLOTE IDEAL PARA INVERSIONISTAS,"$22,941,540",5098
1620528083-12113,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/terreno/for-sale/?currency=mxn,PREVENTA DE LOTES RESIDENCIALES PORTTO BLANCO LA MEJOR INVERSION EN QUERETARO,null,null
1620528324-12820,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=5,Anillo Vial Fray Junípero Serra. Terreno de Uso Mixto en Venta SRM 21-142,"$6,620,752",974
1620528065-12026,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=2,Venta de Terreno en Cumbres del Lago,"$1,350,000",270
1620528065-12050,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=2,TERRENO HABITACIONAL EN VENTA EN JURIQUILLA EN FRACC. PRIVADO CON VIGILANCIA,"$2,044,500",300
1620528032-11944,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-pueblito-19/terreno/for-sale/?currency=mxn,Terreno en Venta en PASEOS CONSTITUYENTES,"$82,963,500",8733
1620528053-12019,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=3,Terreno en Venta en Cumbres del Lago Juriquilla,"$1,595,000",270
1620528032-11963,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-pueblito-19/terreno/for-sale/?currency=mxn,Terreno de 696 mts2 para uso comercial con excelente ubicación! JGJ,"$4,177,200",696
1620528311-12778,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=1,Terreno en Venta en Cumbres del Lago Juriquilla 315m2,"$1,890,000",315
1620528137-12288,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=3,Terreno Dentro de El Campanario,"$7,100,000",653
