web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,baños,mconstruidos
1620516919-656,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,Departamento amueblado en Renta Cantalagua Juriquilla,"$22,000",2,2,null
1620516841-383,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Departamento en renta EL Mirador 2 habitaciones JGCC,"$11,500",2,2,85
1620516805-227,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=1,Departamento en renta Central Park,"$15,500",2,2,256
1620516873-500,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,DEPARTAMENTO AMUEBLADO EN RENTA  EN MILENIO III,"$22,000",2,2,null
1620516966-838,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,RENTA DEPARTAMENTO EN ALTARA JURIQUILLA,"$12,000",2,2,106
1620516797-200,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=2,"Bello departamento en renta Amueblado, Centro Sur OFP EX965","$21,000",2,2,87
1620516819-269,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento Impecable amueblado residencial Teide,"$19,500",1,2,null
1620516750-3,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,"Sin Amoblar Dúplex Lujos, Diseños de Calidad, Amenidades y Seguridad 24/7!","$18,500",2,2,100
1620516880-521,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,HERMOSO DEPARTAMENTO EN MILENIO III,"$11,000",3,2,120
1620516750-27,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,"Dúplex Lujoso con Amenidades, Sin Amoblar ubicado en cumbres del lago RAHQRO","$17,000",2,2,105
1620516873-499,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,Venta renta departamento montebello towers,"$43,000",3,3,232
1620516984-916,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,"Zona premium del Refugio, departamento de 207 mts2 sin amueblar! RAHQRO","$14,000",1,2,207
1620516750-11,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,Departamento en renta,"$16,500",2,2,105
1620516984-914,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,SE RENTA DEPARTAMENTO EN ALTERRA TOWERS,"$12,500",2,2,92
1620516819-295,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,DEPARTAMENTO AMUEBLADO Y EQUIPADO ADAMANT INCREIBLE VISTA,"$18,000",1,1,57
1620516935-727,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=5,RENTA departamento en Fray Junipero sin amueblar de 2 recamaras!,"$17,000",2,3,130
1620516958-827,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,Departamento en Renta JURIQUILLA CANTALAGUA QUERETARO 2 Habitaciones en Privada,"$15,000",2,2,136
1620516927-705,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,DEPARTAMENTO PENT HOUSE EN RENTA  - QUERETARO - JURIQUILLA,"$19,000",2,3,135
1620516849-412,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,Departamento en renta El Mirador 2 habitaciones JGCC,"$11,500",2,2,85
1620516833-336,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO NUEVO EN LA RESERVA EL CAMPANARIO,"$15,000",2,2,113
1620516750-16,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,Departamento en renta,"$16,500",3,2,126
1620516825-325,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Departamento amueblado en exclusivo edificio ubicado en El Campanario JF,"$20,500",1,1,40
1620516873-481,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,RENTA DEPARTAMENTO AMUEBLADO,"$20,000",2,2,120
1620516943-756,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,DEPARTAMENTO AMUEBLADO Y EQUIPADO EN RENTA QUERETARO JURIQUILLA,"$24,500",2,2,110
1620516935-719,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=5,Departamento - Juriquilla,"$15,400",3,2,97
1620516849-396,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,"Departamento Amueblado en El Mirador con Vigilancia, Renta","$11,500",1,1,72
1620516849-411,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,Departamento amueblado en renta en El Mirador AGT,"$11,500",1,1,72
1620516880-514,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,RENTA DEPARTAMENTO MILENIO III PLANTA BAJA,"$12,000",2,2,110
1620516825-314,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Departamento sin amueblar en El Campanario de 76 mts2! RCS,"$25,000",2,2,76
1620516927-690,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,Departamento a estrenar sin amueblar en Fray Junipero Serra! GOC 20-2345,"$22,000",2,3,130
1620516797-193,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=2,DEPARTAMENTO EN RENTA,"$18,000",2,2,108
1620516873-495,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,RENTA DEPARTAMENTO MILENIO III,"$10,500",2,2,110
1620516781-121,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,DEPARTAMENTO EN RENTA EN CENTRAL PARK,"$26,000",2,3,157
1620516904-613,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=9,Lujoso Depa en Renta. Juriquilla. FVR,"$30,000",3,4,172
1620516819-280,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Renta departamento amueblado Adamant Queretaro,"$19,000",2,2,76
1620516774-117,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=5,Bello Departamento en Renta en Koloria Centro Sur 2 Recamaras y Alberca Ycc,"$14,000",2,2,87
1620516857-424,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=1,"Renta de Departamento Amueblado, Excelente Ubicación - El Mirador","$11,500",1,1,72
1620516991-934,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=1,HERMOSO DEPARTAMENTO NUEVO EN RENTA AMUEBLADO UBICADO EN ALTERA TOWERS !!,"$17,500",3,2,128
1620516951-774,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,Renta de Amplio Departamento Amueblado en Juriquilla,"$15,500",2,2,110
1620516951-794,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,"Departamento en 5o piso en Juriquilla con 2 recámaras, 2.5 baños y amenidades","$19,000",2,3,130
1620516781-120,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,"Departamento en Renta, en Centro Sur, Querétaro","$27,997",2,2,160
1620516797-202,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=2,Departamento amueblado de 3 recamaras central park torre 100,"$30,000",3,3,250
1620516766-81,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,"Departamento en renta en Centro Sur, Qro.","$14,000",2,2,90
1620516789-164,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=3,DEPARTAMENTO AMUEBLADO EN RENTA EN CENTRAL PARK,"$22,501",2,2,160
1620516873-484,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,RENTA DEPARTAMENTO MILENIO III A 8 MIN DEL CENTRO,"$15,320",2,2,93
1620516919-665,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,"RENTA DE DEPARTAMENTO AMUEBLADO  EN ALEGRA TOWERS JURIQUILLA, QUERETARO","$22,000",1,2,98
1620516880-523,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,Excelente Ph en Renta,"$17,500",2,2,163
1620516912-635,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=8,"Departamento en Renta en Juriquilla $17,500","$17,500",2,2,160
